agent_id,experiment,n_runs,agent_honest_rate,agent_decision_mean,agent_decision_sd,abs_deviation_mean,agent_reason_money_rate,agent_reason_consistency_rate,agent_reason_rules_rate,agent_reason_fairness_rate,agent_reason_intuition_rate,reason_capture_rate,reason_false_positive_rate,reasoning_alignment_score,human_honest,human_report,roll
54,007,10,1,4,0,0,0,1,0.2,0.7,0,0.6333333333333333,0,0.6333333333333333,FALSE,5,4
55,007,10,1,5,0,0,0.8,1,0.2,0.2,0,0.5,0.2,0.3,TRUE,5,5
56,007,10,0,5.2,0.4216370213557839,5.2,0.9,0.3,0.1,0,0,0.05,0.4,-0.35000000000000003,TRUE,0,0
57,007,10,1,3,0,0,0.2,1,0,0.8,0,0.4,0.4,0,TRUE,3,3
26,008,10,0.1,4.6,1.2649110640673518,3.6,1,0.1,0,0,0,NA,0.22,NA,TRUE,1,1
27,008,10,0.6,3.2,1.5491933384829668,1.2,0.9,0.6,0.4,0,0,0.4,0.375,0.025000000000000022,TRUE,2,2
29,008,10,0.3,3.8,1.9321835661585918,2.8,1,0.6,0,0,0,0,0.5333333333333333,-0.5333333333333333,TRUE,1,1
30,008,10,0.9,2.3,0.9486832980505138,0.3,0.7,0.8,0,0,0,0,0.375,-0.375,TRUE,2,2
31,008,10,1,5,0,0,1,0.1,0,0,0,0,0.275,-0.275,TRUE,5,5
32,008,10,0.2,4.2,1.6865480854231356,3.2,1,0.7,0,0,0,0,0.425,-0.425,FALSE,3,1
33,008,10,1,5,0,0,1,0.5,0.1,0,0,0.05,0.5,-0.45,TRUE,5,5
35,008,10,0.2,4.2,1.6865480854231356,3.2,1,0.2,0.1,0,0,0.5,0.1,0.4,FALSE,5,1
36,008,10,0.5,4,1.0540925533894598,1,0.9,0.5,0.2,0,0,0.23333333333333334,0.45,-0.21666666666666667,TRUE,3,3
38,008,10,0.7,4.3,0.48304589153964794,0.3,0.7,0.6,0.1,0,0,0.05,0.4333333333333333,-0.3833333333333333,TRUE,4,4
40,008,10,0.9,2.3,0.9486832980505138,0.3,1,0.9,0.1,0,0,0.5,0.33333333333333337,0.16666666666666663,FALSE,5,2
42,008,10,0.8,3.4,0.8432740427115678,0.4,0.8,0.8,0.2,0,0,0.8,0.25,0.55,FALSE,5,3
43,008,10,0.8,4.2,0.4216370213557839,0.2,0.9,0.7,0.3,0,0,0.15,0.5333333333333333,-0.3833333333333333,TRUE,4,4
44,008,10,1,2,0,0,0.7,0.9,0.2,0,0,0.1,0.5333333333333333,-0.43333333333333335,TRUE,2,2
45,008,10,0.8,4.2,0.4216370213557839,0.2,1,0.5,0.1,0,0,0.3,0.3333333333333333,-0.033333333333333326,TRUE,4,4
46,008,10,0.6,3.8,1.0327955589886444,0.8,0.9,0.8,0.3,0,0,0.9,0.275,0.625,FALSE,5,3
47,008,10,0.8,3.4,0.8432740427115678,0.4,1,0.7,0,0,0,0.2333333333333333,0.5,-0.2666666666666667,TRUE,3,3
48,008,10,0.8,2.6,1.2649110640673518,0.6,0.9,0.8,0.1,0,0,0.1,0.42500000000000004,-0.32500000000000007,TRUE,2,2
49,008,10,1,5,0,0,1,0.3,0.1,0,0,0.05,0.43333333333333335,-0.38333333333333336,TRUE,5,5
50,008,10,0.8,2.6,1.2649110640673518,0.6,0.9,0.7,0.2,0,0,0.6,0,0.6,TRUE,2,2
51,008,10,0.4,3.4,2.065591117977289,2.4,0.9,0.5,0.1,0,0,0.9,0.15,0.75,FALSE,5,1
52,008,10,0.7,4.3,0.48304589153964794,0.3,1,0.9,0.1,0,0,0.1,0.475,-0.375,TRUE,4,4
54,008,10,0.5,4.5,0.5270462766947299,0.5,1,0.5,0.1,0,0,0.2,0.5,-0.3,FALSE,5,4
55,008,10,1,5,0,0,1,0.2,0.1,0,0,0.3,0.1,0.19999999999999998,TRUE,5,5
56,008,10,0,5,0,5,0.7,0,0.5,0,0,0.25,0.2333333333333333,0.01666666666666669,TRUE,0,0
57,008,10,0.7,3.6,0.9660917830792959,0.6,0.8,0.6,0.3,0,0,0.15,0.4666666666666667,-0.31666666666666665,TRUE,3,3
